what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1507346370747
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1507346370747
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1507346370747
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1507346370747
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1507346370747
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1507346370747
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1507346370747
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1507346370747
os,sysinfo,,,"win32",1507346370747
arch,sysinfo,,,"x86_64",1507346370747
ws,sysinfo,,,"win32",1507346370747
locale,sysinfo,,,"zh_CN",1507346370747
processors,sysinfo,,,"4",1507346370747
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1507346370747
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1507346370747
java.specification.name,sysinfo,,,"Java Platform API Specification",1507346370747
java.specification.vendor,sysinfo,,,"Oracle Corporation",1507346370747
java.specification.version,sysinfo,,,"1.7",1507346370747
java.vendor,sysinfo,,,"Oracle Corporation",1507346370747
java.version,sysinfo,,,"1.7.0_80",1507346370747
java.vm.info,sysinfo,,,"mixed mode",1507346370747
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1507346370747
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1507346370747
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1507346370747
java.vm.specification.version,sysinfo,,,"1.7",1507346370747
java.vm.vendor,sysinfo,,,"Oracle Corporation",1507346370747
java.vm.version,sysinfo,,,"24.80-b11",1507346370747
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1507346372388
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1507346372388
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1507346372403
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1507346374747
